geohash7;CONNECTION_ENODEBID;CONNECTION_MOBILECHANNEL;CONNECTION_BAND;LOCATION_ALTITUDE;LOCATION_HORIZONTALACCURACY;LOCATION_VERTICALACCURACY;LOCATION_AVAILABILITY;QOS_DOWNLOADTHROUGHPUTTIMETOFIRSTBYTE;QOS_DOWNLOADTHROUGHPUTTESTSIZE;QOS_LATENCYMIN;QOS_LATENCYAVERAGE;QOS_JITTERMIN;QOS_JITTERAVERAGE;QOS_PACKETLOSSDISCARDPERCENTAGE;QOS_PACKETLOSSLOSTPERCENTAGE;QOS_ICMPLATENCYMIN;QOS_LINKDOWNSTREAMBANDWIDTH;QOS_LINKUPSTREAMBANDWIDTH;QOS_SIGNALLEVEL;QOS_ASU;QOS_DELTATRANSMITTEDBYTES;QOS_DELTARECEIVEDBYTES;QOS_DELTATRANSCEIVEDBYTES;QOS_RSSNR;QOS_TA;LOCATION_HORIZONTALACCURACYASSESSMENT;QOS_UPLOADTHROUGHPUTDNSLOOKUP;QOS_UPLOADTHROUGHPUTTIMETOFIRSTACCESS;QOS_DOWNLOADTHROUGHPUTDNSLOOKUP;QOS_DOWNLOADTHROUGHPUTTIMETOFIRSTACCESS;QOS_SERVERRESPONSEDNSLOOKUP;QOS_ICMPLATENCYAVERAGE;QOS_ICMPPACKETLOSSLOSTPERCENTAGE;QOS_ICMPTESTCONFIGPACKETDELAY;QOS_ICMPTESTCONFIGPACKETSIZE;QOS_ICMPTESTCONFIGSENTPACKETS;QOS_ICMPTESTCONFIGTTL;QOS_ICMPTESTCONFIGBYTESSENT;QOS_ICMPTESTCONFIGARGUMENTS;QOS_ICMPTRACEROUTETESTCONFIGPACKETDELAY;QOS_ICMPTRACEROUTETESTCONFIGMAXHOPCOUNT;QOS_ICMPTRACEROUTETESTSENTPACKETS;QOS_VISIBLECELLTOWERS;QOS_CELLBANDWIDTHS;Operador;LAT;LON;Potencia;Calidad;hora;Hora_etiq;bytes_tras;bytres_rec;bytes_tot;tiempo_conec;vel_subida;vel_bajada;Clasif_Vel_baj;CONNECTION_CATEGORY;QOS_LOCALDATE
63vtx39;3.715,00;2.900;2600 MHz (Band 7);574,7;11,25;3,21;AVAILABLE;155;5.242.880;37,17;38,81;0,07;1,55;0;0;9,64;30.000;15.000;4;62;1.148.636;5.565.483;6.714.119;15;5;0;31;146;23;91;31;11,99;0;200;32;10;12;60;;200;30;3;1;;D;-34,18;-70,69;-78;-7;10;10_11;1.148.636;5.565.483;6.714.119;1.241;33.926,05;53.542,88;1;4G;09-03-2022 10:00:00.000000
63vtx5x;12.994,00;3.100;2600 MHz (Band 7);559,7;2,8;16,61;AVAILABLE;452;2.097.152;34,63;37,67;0,04;2,18;0;0;9,28;30.000;15.000;4;58;1.242.109;4.778.164;6.020.273;10;0;4.747,34;226;621;29;230;30;25,9;0;200;32;10;53;60;;200;30;3;1;20000;C;-34,17;-70,7;-82;-11;14;14_15;1.242.109;4.778.164;6.020.273;34;11.270,58;9.533,04;0;4G;09-03-2022 14:00:00.000000
63vtx6j;16.789,00;2.300;1700 MHz AWS-1 (Band 4);575;68;1,33;UNKNOWN;275;5.242.880;32,52;40,05;0,03;3,71;0;0;12,48;30.000;15.000;3;33;1.227.911;5.559.959;6.787.870;17;4;0;28;142;34;191;57;20,9;0;200;32;10;9;60;;200;30;3;1;;B;-34,18;-70,69;-107;-7;18;18_19;1.227.911;5.559.959;6.787.870;4.753;10.889,33;49.254,93;1;4G;09-03-2022 18:00:00.000000
63vtxdf;524.584,00;1.000;1900 MHz (Band 2);572,9;13,47;1;AVAILABLE;219;2.097.152;32,66;36,17;0,05;2,7;0;0;7,03;102.400;51.200;3;37;1.150.963;2.273.150;3.424.113;15;9;1.484,18;44;133;33;151;55;8,83;0;200;32;10;9;60;;200;30;3;1;10000, 20000;A;-34,17;-70,68;-103;-9;6;6_7;1.150.963;2.273.150;3.424.113;2.976;15.256,74;33.004,35;1;4G;10-03-2022 06:00:00.000000
63vtx6s;16.789,00;66.961;1700 MHz Extended AWS (Band 66);568,8;16,47;2,03;AVAILABLE;185;2.097.152;32,17;38,42;0,01;2,96;0;0;11,24;33.131;7.497;4;52;1.193.152;3.644.318;4.837.470;15;1;0;54;170;40;123;27;16,44;0;200;32;10;8;60;;200;30;3;2;15000, 20000;B;-34,18;-70,69;-88;-10;9;9_10;1.193.152;3.644.318;4.837.470;1.441;12.684,23;23.921,51;1;4G;10-03-2022 09:00:00.000000
63vtx6j;16.789,00;2.300;1700 MHz AWS-1 (Band 4);286;87;108,45;UNKNOWN;323;2.097.152;33,88;41,15;0;2,85;0;0;17,06;30.000;15.000;3;37;1.137.776;2.283.683;3.421.459;12;4;0,72;51;197;49;226;59;19,73;0;200;32;10;8;60;;200;30;3;1;;B;-34,18;-70,69;-103;-10;20;20_21;1.137.776;2.283.683;3.421.459;2.269;21.532,01;37.409,59;1;4G;10-03-2022 20:00:00.000000
63vtxdf;524.584,00;1.000;1900 MHz (Band 2);572,6;20,73;3,23;AVAILABLE;458;2.097.152;32,65;38,46;0,01;3,45;0;0;15,23;102.400;51.200;3;44;1.213.423;2.337.041;3.550.464;6;9;0;46;386;42;263;51;21,8;0;200;32;10;6;60;;200;30;3;1;10000, 20000;A;-34,17;-70,68;-96;-16;22;22_23;1.213.423;2.337.041;3.550.464;3.184;7.260,69;3.170,42;0;4G;10-03-2022 22:00:00.000000
63vtx61;16.789,00;1.425;1800+ MHz (Band 3);570,2;22,15;1,04;NOT_AVAILABLE;227;2.097.152;34,23;41,83;0,01;4,56;0;0;11,91;102.400;51.200;4;45;1.704.891;9.568.591;11.273.482;14;3;1.004,91;92;230;22;143;54;16,59;0;200;32;10;8;60;;200;30;3;5;;B;-34,18;-70,69;-96;-11;22;22_23;1.704.891;9.568.591;11.273.482;1.293;8.291,03;22.037,28;1;4G;10-03-2022 22:00:00.000000
63vtx7j;12.994,00;3.100;2600 MHz (Band 7);565,4;14,84;1,67;AVAILABLE;383;5.242.880;36,27;56,3;5,05;11,02;0;0;38,29;16.027;10.246;4;54;1.215.150;5.671.652;6.886.802;0;6;452,41;83;302;54;296;51;53,86;0;200;32;10;13;60;;200;30;3;2;15000, 15000, 20000;C;-34,17;-70,69;-86;-13;23;23_24;1.215.150;5.671.652;6.886.802;47;10.136,99;8.056,62;0;4G;10-03-2022 23:00:00.000000
63vtxdf;524.584,00;3.300;2600 MHz (Band 7);572,3;16,51;1,03;AVAILABLE;841;2.097.152;41,96;82,72;1,49;15,38;0;0;22,4;102.400;51.200;1;36;1.167.656;2.340.662;3.508.318;-1;9;0;92;394;106;507;99;36,22;0;200;32;10;14;60;;200;30;3;1;20000;A;-34,17;-70,68;-104;-16;7;7_8;1.167.656;2.340.662;3.508.318;95;10.129,72;3.128,67;0;4G;11-03-2022 07:00:00.000000
63vtx6s;16.789,00;66.961;1700 MHz Extended AWS (Band 66);568,8;19,82;1,81;AVAILABLE;272;2.097.152;33;38,86;0,01;2,71;0;0;13,37;33.131;7.497;4;58;1.166.005;2.370.323;3.536.328;15;1;0;41;201;41;163;31;19,19;0;200;32;10;9;60;;200;30;3;2;15000, 20000;B;-34,18;-70,69;-82;-11;10;10_11;1.166.005;2.370.323;3.536.328;193;21.407,98;39.141,01;1;4G;11-03-2022 10:00:00.000000
63vtx7j;12.994,00;1.125;1900 MHz (Band 2);564,4;14,54;1,54;AVAILABLE;347;2.097.152;38,64;56,27;4,43;11,46;0;0;12,72;30.000;15.000;4;53;1.177.970;2.244.549;3.422.519;17;8;4.869,94;109;436;60;262;96;38,97;0;200;32;10;240;60;;200;30;3;1;15000, 20000;C;-34,17;-70,69;-87;-11;12;12_13;1.177.970;2.244.549;3.422.519;83;11.248,53;1.988,27;0;4G;11-03-2022 12:00:00.000000
63vtx6j;16.789,00;2.300;1700 MHz AWS-1 (Band 4);286;45;100;UNKNOWN;342;2.097.152;32,51;39,39;0,01;3,52;0;0;12,14;30.000;15.000;3;39;1.158.634;2.234.588;3.393.222;10;4;1,43;47;189;42;229;49;20,13;0;200;32;10;9;60;;200;30;3;1;;B;-34,18;-70,69;-101;-13;20;20_21;1.158.634;2.234.588;3.393.222;2.630;10.914,29;53.011,18;1;4G;11-03-2022 20:00:00.000000
63vtxjj;12.994,00;3.100;2600 MHz (Band 7);552,3;10,75;17,1;AVAILABLE;601;2.097.152;64,84;320,7;0,85;15;2;1;11,36;30.000;15.000;3;37;1.875.232;5.922.218;7.797.450;3;23;6.693,63;63;186;76;457;1.010;15,15;0;200;32;10;18;60;;200;30;3;2;20000;C;-34,16;-70,7;-103;-12;9;9_10;1.875.232;5.922.218;7.797.450;415;3.090,52;5.340,92;0;4G;12-03-2022 09:00:00.000000
63vtx63;16.789,00;66.961;1700 MHz Extended AWS (Band 66);570,2;74,26;2,68;NOT_AVAILABLE;242;2.097.152;31,65;40,26;0,05;2,65;0;0;16,33;102.400;51.200;3;41;1.234.870;2.265.217;3.500.087;13;5;0;47;207;42;135;42;19,7;0;200;32;10;8;60;;200;30;3;1;15000;B;-34,18;-70,69;-99;-10;16;16_17;1.234.870;2.265.217;3.500.087;127;10.465,47;26.085,08;1;4G;12-03-2022 16:00:00.000000
63vtxdf;524.584,00;3.300;2600 MHz (Band 7);572,9;16,57;1;AVAILABLE;307;2.097.152;35,65;48,74;0,17;8,57;0;0;10,78;102.400;51.200;2;31;1.211.786;2.378.521;3.590.307;3;9;0;32;331;57;196;53;15,54;0;200;32;10;116;60;;200;30;3;1;10000, 20000;A;-34,17;-70,68;-109;-14;17;17_18;1.211.786;2.378.521;3.590.307;36;11.194,32;3.786,65;0;4G;12-03-2022 17:00:00.000000
63vtx6n;16.789,00;2.300;1700 MHz AWS-1 (Band 4);574;27;1,1;UNKNOWN;298;2.097.152;33,13;43,75;0,01;3,94;3;0;17,65;30.000;15.000;4;62;1.483.698;2.551.246;4.034.944;13;4;0;58;213;39;204;151;26,17;0;200;32;10;9;60;;200;30;3;1;;B;-34,18;-70,69;-78;-12;21;21_22;1.483.698;2.551.246;4.034.944;16.785;9.743,23;60.066,91;1;4G;12-03-2022 21:00:00.000000
63vtx7n;3.715,00;2.900;2600 MHz (Band 7);565,9;11,96;1;AVAILABLE;322;5.242.880;77,32;79,28;0,02;1,45;0;0;12,03;102.400;51.200;3;37;1.081.011;5.336.939;6.417.950;14;6;88,24;37;157;36;248;31;13,25;0;200;32;10;17;60;;200;30;3;7;10000, 20000;D;-34,17;-70,69;-103;-20;4;4_5;1.081.011;5.336.939;6.417.950;49;10.939,25;82.210,79;1;4G;13-03-2022 04:00:00.000000
63vtxdf;524.584,00;3.300;2600 MHz (Band 7);572,9;13,65;1,02;AVAILABLE;240;2.097.152;34,19;40,62;0,03;2,71;0;0;12,68;102.400;51.200;1;26;1.155.518;2.224.651;3.380.169;0;9;0;105;237;37;166;38;18,28;0;200;32;10;10;60;;200;30;3;1;10000;A;-34,17;-70,68;-114;-13;10;10_11;1.155.518;2.224.651;3.380.169;65;11.460,03;12.303,53;1;4G;13-03-2022 10:00:00.000000
63vtx4q;16.789,00;66.961;1700 MHz Extended AWS (Band 66);567,4;17,06;1,46;AVAILABLE;217;2.097.152;32,1;37,3;0,02;3,06;0;0;10,48;102.400;51.200;3;53;1.163.497;2.322.589;3.486.086;12;5;0;90;252;32;156;27;14,87;0;200;32;10;6;60;;200;30;3;5;;B;-34,18;-70,7;-87;-12;20;20_21;1.163.497;2.322.589;3.486.086;98;11.112,51;6.022,62;0;4G;13-03-2022 20:00:00.000000
63vtx6j;16.789,00;2.300;1700 MHz AWS-1 (Band 4);502;19;100;UNKNOWN;257;2.097.152;31,63;39,23;0,06;3,64;0;0;15,18;30.000;15.000;3;41;1.140.806;2.221.175;3.361.981;10;4;269,95;28;140;43;175;57;23,23;0;200;32;10;9;60;;200;30;3;1;;B;-34,18;-70,69;-99;-7;0;0_1;1.140.806;2.221.175;3.361.981;19.068;11.368,71;54.332,99;1;4G;14-03-2022 00:00:00.000000
63vtxe5;524.584,00;1.000;1900 MHz (Band 2);569,2;32,1;3,69;AVAILABLE;131;2.097.152;35,3;37,27;0,01;1,18;0;0;8,01;102.400;51.200;4;44;1.124.192;2.273.991;3.398.183;20;5;0;21;111;3;85;93;10,06;0;200;32;10;3;60;;200;30;3;2;;A;-34,17;-70,68;-96;-13;6;6_7;1.124.192;2.273.991;3.398.183;378;11.959,16;37.970,18;1;4G;14-03-2022 06:00:00.000000
63vtxs1;12.994,00;1.125;1900 MHz (Band 2);560,7;9,17;0,94;AVAILABLE;264;2.097.152;39,37;45,04;0,03;2,86;0;0;13,92;3.563;15.000;2;22;1.170.313;2.282.138;3.452.451;3;15;1.092,24;111;236;43;176;149;16,33;0;200;32;10;14;60;;200;30;3;2;15000;C;-34,17;-70,68;-118;-12;9;9_10;1.170.313;2.282.138;3.452.451;69;2.131,58;20.316,59;1;4G;14-03-2022 09:00:00.000000
63vtx6s;16.789,00;66.961;1700 MHz Extended AWS (Band 66);568,8;17,59;1,32;NOT_AVAILABLE;227;2.097.152;31,38;37,21;0,08;2,1;0;0;8,73;33.149;7.497;4;54;1.148.219;2.565.782;3.714.001;11;1;5.115,74;42;182;42;129;54;14,7;0;200;32;10;9;60;;200;30;3;2;15000, 20000;B;-34,18;-70,69;-86;-10;16;16_17;1.148.219;2.565.782;3.714.001;2.405;10.715,83;37.259,93;1;4G;14-03-2022 16:00:00.000000
63vtx6j;16.789,00;2.300;1700 MHz AWS-1 (Band 4);502;15;100;AVAILABLE;261;2.097.152;32,43;39,55;0,01;3,26;0;0;15,18;30.000;15.000;3;41;1.427.760;2.971.721;4.399.481;17;4;0,01;51;199;54;189;42;20,87;0;200;32;10;10;60;;200;30;3;1;;B;-34,18;-70,69;-99;-7;2;2_3;1.427.760;2.971.721;4.399.481;22.278;11.161,31;18.560,17;1;4G;15-03-2022 02:00:00.000000
63vtx4r;12.994,00;1.125;1900 MHz (Band 2);567,5;22,98;1,72;AVAILABLE;917;2.097.152;35,68;56,92;3,49;10,74;0;0;29,72;30.000;15.000;4;49;1.235.906;2.430.739;3.666.645;5;9;4.896,21;64;346;66;243;51;38,18;0;200;32;10;13;60;;200;30;3;2;15000, 20000;C;-34,18;-70,7;-91;-14;13;13_14;1.235.906;2.430.739;3.666.645;83;11.903,47;4.648,85;0;4G;15-03-2022 13:00:00.000000
63vtxdf;524.584,00;3.300;2600 MHz (Band 7);572,9;14,64;1;AVAILABLE;382;2.097.152;33,45;44,4;0;8,79;0;0;13,33;102.400;51.200;3;36;1.168.537;2.260.179;3.428.716;5;9;0;188;430;53;207;62;20,56;0;200;32;10;9;60;;200;30;3;4;10000, 20000;A;-34,17;-70,68;-104;-17;21;21_22;1.168.537;2.260.179;3.428.716;2.076;4.263,26;4.889,83;0;4G;15-03-2022 21:00:00.000000
63vtxe5;524.584,00;3.300;2600 MHz (Band 7);569,1;18,97;1,47;AVAILABLE;357;2.097.152;33,24;44,04;0,03;5,93;0;0;9,75;102.400;51.200;2;38;1.309.980;4.340.502;5.650.482;2;5;0;45;284;44;204;45;18,38;0;200;32;10;10;60;;200;30;3;23;;A;-34,17;-70,68;-102;-18;22;22_23;1.309.980;4.340.502;5.650.482;1.453;5.740,58;8.889,43;0;4G;15-03-2022 22:00:00.000000
63vtx6j;16.789,00;2.300;1700 MHz AWS-1 (Band 4);502;20;100;UNKNOWN;279;2.097.152;33,27;39,51;0,01;2,9;0;0;14,71;30.000;15.000;3;32;1.143.850;2.225.559;3.369.409;18;4;0;66;189;58;214;64;21,09;0;200;32;10;8;60;;200;30;3;1;;B;-34,18;-70,69;-108;-8;6;6_7;1.143.850;2.225.559;3.369.409;1.693;11.026,71;47.903,21;1;4G;16-03-2022 06:00:00.000000
63vtx6s;12.994,00;3.100;2600 MHz (Band 7);568,6;45,52;3,27;AVAILABLE;203;2.097.152;34,92;37,69;0;1,98;0;0;9,15;30.000;15.000;4;60;1.157.318;2.250.855;3.408.173;9;2;0;57;166;25;141;43;17,1;0;200;32;10;241;60;;200;30;3;2;20000;C;-34,18;-70,69;-80;-12;8;8_9;1.157.318;2.250.855;3.408.173;33;27.370,04;14.424,27;1;4G;16-03-2022 08:00:00.000000
63vtx63;16.789,00;2.300;1700 MHz AWS-1 (Band 4);569,7;39,03;3,36;AVAILABLE;258;2.097.152;32,8;41,35;0,03;4,53;0;0;10,18;30.000;15.000;4;49;1.347.790;3.054.092;4.401.882;18;2;8,78;31;181;53;174;60;20,51;0;200;32;10;119;60;;200;30;3;3;;B;-34,18;-70,69;-91;-15;9;9_10;1.347.790;3.054.092;4.401.882;91;11.801,00;25.265,45;1;4G;16-03-2022 09:00:00.000000
63vtx6s;16.789,00;66.961;1700 MHz Extended AWS (Band 66);568,8;18,84;1,39;AVAILABLE;414;2.097.152;39,08;259,17;0,34;14,63;0;0;10,76;33.146;7.497;4;51;1.357.023;5.735.992;7.093.015;14;1;0;178;388;219;322;730;17,55;0;200;32;10;7;60;;200;30;3;1;15000, 20000;B;-34,18;-70,69;-89;-15;16;16_17;1.357.023;5.735.992;7.093.015;1.506;12.666,80;5.201,41;0;4G;16-03-2022 16:00:00.000000
63vtxdf;524.584,00;3.300;2600 MHz (Band 7);572,9;20;1,11;AVAILABLE;396;2.097.152;33,85;45,86;0,13;7,88;0;0;11,67;102.400;51.200;3;33;1.133.712;2.243.403;3.377.115;4;9;0,01;45;231;55;239;54;24,24;0;200;32;10;26;60;;200;30;3;3;10000, 20000;A;-34,17;-70,68;-107;-15;19;19_20;1.133.712;2.243.403;3.377.115;28;1.779,40;12.154,95;1;4G;16-03-2022 19:00:00.000000
63vtx7d;12.994,00;3.100;2600 MHz (Band 7);532,9;8,4;143,3;AVAILABLE;233;5.242.880;33,3;38,68;0,04;3,41;0;0;11,12;30.000;15.000;3;40;1.685.261;5.784.330;7.469.591;9;0;0;76;201;49;188;113;15,07;0;200;32;10;54;60;;200;30;3;1;;C;-34,17;-70,69;-100;-10;2;2_3;1.685.261;5.784.330;7.469.591;37;5.334,05;32.952,65;1;4G;17-03-2022 02:00:00.000000
63vtx6j;16.789,00;2.300;1700 MHz AWS-1 (Band 4);502;26;100;UNKNOWN;296;2.097.152;32,29;38,83;0,05;3,29;0;0;13,27;30.000;15.000;2;30;1.134.970;2.227.840;3.362.810;15;4;0,01;47;176;59;261;44;19,99;0;200;32;10;14;60;;200;30;3;1;;B;-34,18;-70,69;-110;-7;6;6_7;1.134.970;2.227.840;3.362.810;10;10.727,15;40.987,93;1;4G;17-03-2022 06:00:00.000000
63vtx6x;12.994,00;3.100;2600 MHz (Band 7);615,2;13;186,4;AVAILABLE;219;5.242.880;34,18;36,14;0,01;2,2;0;0;8,96;30.000;15.000;4;60;1.184.675;5.568.823;6.753.498;3;4;0,07;39;174;36;168;40;13,95;0;200;32;10;13;60;;200;30;3;5;20000;C;-34,18;-70,69;-80;-10;7;7_8;1.184.675;5.568.823;6.753.498;61;11.683,88;14.888,17;1;4G;17-03-2022 07:00:00.000000
63vtx68;524.584,00;3.300;2600 MHz (Band 7);568,2;49,72;5,38;NOT_AVAILABLE;267;2.097.152;38,76;60,26;0,17;13,47;0;0;15,98;102.400;51.200;3;34;1.269.860;5.715.978;6.985.838;10;6;10,7;65;311;73;207;32;26,09;0;200;32;10;15;60;;200;30;3;2;10000, 20000;A;-34,18;-70,7;-106;-17;8;8_9;1.269.860;5.715.978;6.985.838;375;6.804,46;10.239,79;1;4G;17-03-2022 08:00:00.000000
63vtx4q;12.994,00;1.125;1900 MHz (Band 2);567,2;700;10,26;AVAILABLE;212;5.242.880;37,55;42,91;0,02;3,21;0;0;8,79;30.000;15.000;3;34;1.735.808;9.237.886;10.973.694;-4;9;0,13;52;248;29;135;2;14,96;0;200;32;10;242;60;;200;30;3;2;15000, 20000;C;-34,18;-70,7;-106;-18;10;10_11;1.735.808;9.237.886;10.973.694;83;11.442,07;6.019,12;0;4G;17-03-2022 10:00:00.000000
63vtxdf;524.584,00;3.300;2600 MHz (Band 7);572,9;20;1;AVAILABLE;264;2.097.152;35,23;40,65;0;1,87;0;0;10,49;102.400;51.200;3;36;1.154.682;2.225.022;3.379.704;6;9;0;36;153;30;186;39;14,9;0;200;32;10;15;60;;200;30;3;2;10000, 20000;A;-34,17;-70,68;-104;-13;6;6_7;1.154.682;2.225.022;3.379.704;127;11.921,73;41.723,85;1;4G;18-03-2022 06:00:00.000000
63vtx6j;16.789,00;2.300;1700 MHz AWS-1 (Band 4);286;22;100;UNKNOWN;279;2.097.152;32,49;39,2;0,03;3,43;0;0;14,28;30.000;15.000;3;37;1.146.989;2.225.363;3.372.352;13;4;0,73;42;144;48;218;61;20,87;0;200;32;10;9;60;;200;30;3;1;;B;-34,18;-70,69;-103;-7;7;7_8;1.146.989;2.225.363;3.372.352;2.720;11.621,89;39.913,87;1;4G;18-03-2022 07:00:00.000000
63vtxdc;12.994,00;1.125;1900 MHz (Band 2);570,7;26,74;1,06;AVAILABLE;301;2.097.152;37,41;43,76;0,09;3,32;0;0;12,59;30.000;15.000;4;46;1.498.535;4.861.555;6.360.090;10;4;4,94;71;251;41;245;74;18,12;0;200;32;10;12;60;;200;30;3;3;;C;-34,17;-70,68;-94;-14;11;11_12;1.498.535;4.861.555;6.360.090;126;6.012,89;16.524,46;1;4G;18-03-2022 11:00:00.000000
63vtx62;12.994,00;3.100;2600 MHz (Band 7);570,1;3,94;1,1;AVAILABLE;437;2.097.152;39,51;64,51;0,2;10,33;0;0;27,37;30.000;15.000;2;31;1.404.762;2.568.617;3.973.379;-3;3;0;132;355;72;248;76;33,03;0;200;32;10;240;60;;200;30;3;4;20000;C;-34,18;-70,7;-109;-13;18;18_19;1.404.762;2.568.617;3.973.379;59;2.645,35;6.196,15;0;4G;18-03-2022 18:00:00.000000
63vtx4r;16.789,00;66.961;1700 MHz Extended AWS (Band 66);567,2;1,46;1,47;AVAILABLE;204;2.097.152;31,56;37,44;0;2,07;0;0;13,01;102.400;51.200;3;58;1.113.710;2.166.510;3.280.220;5;7;2,22;99;226;47;119;44;20,37;0;200;32;10;9;60;;200;30;3;1;15000;B;-34,18;-70,7;-82;-11;18;18_19;1.113.710;2.166.510;3.280.220;119;10.090,05;44.472,36;1;4G;18-03-2022 18:00:00.000000
63vtx6j;16.789,00;2.300;1700 MHz AWS-1 (Band 4);502;22;100;UNKNOWN;266;2.097.152;33,23;39,85;0,02;3,38;0;0;11,61;30.000;15.000;4;43;1.132.519;2.259.902;3.392.421;13;4;0,03;54;206;35;172;35;20,65;0;200;32;10;245;60;;200;30;3;1;;B;-34,18;-70,69;-97;-8;7;7_8;1.132.519;2.259.902;3.392.421;8;10.863,73;34.627,13;1;4G;19-03-2022 07:00:00.000000
63vtx63;524.584,00;3.300;2600 MHz (Band 7);569,7;40,32;1;AVAILABLE;266;2.097.152;35,51;42,63;0,03;3,53;0;0;12,85;30.000;15.000;4;57;2.996.808;11.561.291;14.558.099;11;1;0;51;195;36;156;34;16,38;0;200;32;10;245;60;;200;30;3;1;;A;-34,18;-70,69;-83;-11;8;8_9;2.996.808;11.561.291;14.558.099;299;13.026,92;31.535,93;1;4G;19-03-2022 08:00:00.000000
63vtxgb;12.994,00;1.125;1900 MHz (Band 2);565,8;64,1;3,13;NOT_AVAILABLE;519;2.097.152;37,5;52,72;2,6;10,38;0;0;26,46;8.249;15.000;4;52;1.157.400;2.224.088;3.381.488;9;0;0;75;249;66;300;90;42,81;0;200;32;10;239;60;;200;30;3;2;15000;C;-34,17;-70,67;-88;-10;14;14_15;1.157.400;2.224.088;3.381.488;48;11.050,13;9.178,74;0;4G;19-03-2022 14:00:00.000000
63vtx7p;12.994,00;3.100;2600 MHz (Band 7);568;19,88;2,42;AVAILABLE;362;5.242.880;36,32;40,55;0,01;3,73;0;0;10,13;30.000;15.000;4;47;1.185.211;5.512.441;6.697.652;-1;3;0;51;230;41;297;48;17,71;0;200;32;10;54;60;;200;30;3;8;20000;C;-34,17;-70,69;-93;-9;17;17_18;1.185.211;5.512.441;6.697.652;69;7.054,39;10.291,48;1;4G;19-03-2022 17:00:00.000000
63vtx6s;16.789,00;66.961;1700 MHz Extended AWS (Band 66);568,8;15,89;1,94;AVAILABLE;492;2.097.152;34,21;49,92;0,05;6,57;0;0;16,71;33.264;7.497;4;54;1.253.209;4.844.766;6.097.975;12;1;5.750,98;48;206;37;417;1.075;24,08;0;200;32;10;13;60;;200;30;3;1;15000;B;-34,18;-70,69;-86;-12;18;18_19;1.253.209;4.844.766;6.097.975;2.406;12.636,42;8.960,48;0;4G;19-03-2022 18:00:00.000000
63vtx4r;12.994,00;1.125;1900 MHz (Band 2);568;119;4,35;UNKNOWN;857;2.097.152;34,24;37,58;0,03;2,69;0;0;57,2;30.000;15.000;4;62;1.171.848;2.980.302;4.152.150;17;0;134,77;133;537;133;560;138;60,34;0;200;32;10;20;60;;200;30;3;1;;C;-34,18;-70,7;-78;-7;5;5_6;1.171.848;2.980.302;4.152.150;114;9.448,82;10.665,59;1;4G;20-03-2022 05:00:00.000000
63vtx6j;16.789,00;2.300;1700 MHz AWS-1 (Band 4);502;17;100;UNKNOWN;330;2.097.152;33,79;40,94;0,02;3,88;0;0;25,84;30.000;15.000;3;37;1.169.003;2.255.822;3.424.825;12;4;0,01;41;207;55;295;45;27,78;0;200;32;10;242;60;;200;30;3;1;;B;-34,18;-70,69;-103;-10;13;13_14;1.169.003;2.255.822;3.424.825;10;9.588,94;34.656,33;1;4G;20-03-2022 13:00:00.000000
63vtxgz;12.994,00;3.100;2600 MHz (Band 7);571,5;35,72;1,88;AVAILABLE;367;2.097.152;33,89;39,59;0,01;3,85;0;0;20,36;30.000;15.000;4;64;1.235.547;14.127.352;15.362.899;9;0;4.717,56;29;194;31;252;39;36,65;0;200;32;10;21;60;;200;30;3;3;20000;C;-34,17;-70,66;-76;-8;15;15_16;1.235.547;14.127.352;15.362.899;13;12.086,60;35.060,78;1;4G;21-03-2022 15:00:00.000000
63vtx7d;16.789,00;2.300;1700 MHz AWS-1 (Band 4);564,1;45,56;2,06;AVAILABLE;333;2.097.152;32,82;45,29;0,02;6,84;0;0;13,78;30.000;15.000;4;64;1.191.016;2.303.774;3.494.790;6;0;5.276,27;647;1.141;41;173;36;24,68;0;200;32;10;8;60;;200;30;3;1;;B;-34,17;-70,69;-76;-11;17;17_18;1.191.016;2.303.774;3.494.790;239;9.064,43;6.287,87;0;4G;21-03-2022 17:00:00.000000
63vtx6d;3.715,00;2.900;2600 MHz (Band 7);571;72;7,32;UNKNOWN;301;2.097.152;36,06;37,78;0,03;1,33;0;0;9,24;30.000;15.000;3;40;1.153.808;2.247.368;3.401.176;-3;0;5.276,27;26;379;23;267;24;10,18;0;200;32;10;9;60;;200;30;3;1;20000;D;-34,18;-70,69;-100;-15;17;17_18;1.153.808;2.247.368;3.401.176;42;8.446,76;24.565,44;1;4G;21-03-2022 17:00:00.000000
63vtxdf;524.584,00;9.360;700 MHz APT (Band 28);572,9;15,15;1,15;AVAILABLE;195;2.097.152;32,5;38,3;0,02;4,01;0;0;11,63;102.400;51.200;3;40;1.238.256;4.373.627;5.611.883;7;9;0;94;330;25;147;39;37,15;0;200;32;10;14;60;;200;30;3;2;10000, 20000;A;-34,17;-70,68;-100;-11;19;19_20;1.238.256;4.373.627;5.611.883;774;8.187,89;4.659,62;0;4G;21-03-2022 19:00:00.000000
