geohash7;CONNECTION_ENODEBID;CONNECTION_MOBILECHANNEL;CONNECTION_BAND;LOCATION_ALTITUDE;LOCATION_HORIZONTALACCURACY;LOCATION_VERTICALACCURACY;LOCATION_AVAILABILITY;QOS_DOWNLOADTHROUGHPUTTIMETOFIRSTBYTE;QOS_DOWNLOADTHROUGHPUTTESTSIZE;QOS_LATENCYMIN;QOS_LATENCYAVERAGE;QOS_JITTERMIN;QOS_JITTERAVERAGE;QOS_PACKETLOSSDISCARDPERCENTAGE;QOS_PACKETLOSSLOSTPERCENTAGE;QOS_ICMPLATENCYMIN;QOS_LINKDOWNSTREAMBANDWIDTH;QOS_LINKUPSTREAMBANDWIDTH;QOS_SIGNALLEVEL;QOS_ASU;QOS_DELTATRANSMITTEDBYTES;QOS_DELTARECEIVEDBYTES;QOS_DELTATRANSCEIVEDBYTES;QOS_RSSNR;QOS_TA;LOCATION_HORIZONTALACCURACYASSESSMENT;QOS_UPLOADTHROUGHPUTDNSLOOKUP;QOS_UPLOADTHROUGHPUTTIMETOFIRSTACCESS;QOS_DOWNLOADTHROUGHPUTDNSLOOKUP;QOS_DOWNLOADTHROUGHPUTTIMETOFIRSTACCESS;QOS_SERVERRESPONSEDNSLOOKUP;QOS_ICMPLATENCYAVERAGE;QOS_ICMPPACKETLOSSLOSTPERCENTAGE;QOS_ICMPTESTCONFIGPACKETDELAY;QOS_ICMPTESTCONFIGPACKETSIZE;QOS_ICMPTESTCONFIGSENTPACKETS;QOS_ICMPTESTCONFIGTTL;QOS_ICMPTESTCONFIGBYTESSENT;QOS_ICMPTESTCONFIGARGUMENTS;QOS_ICMPTRACEROUTETESTCONFIGPACKETDELAY;QOS_ICMPTRACEROUTETESTCONFIGMAXHOPCOUNT;QOS_ICMPTRACEROUTETESTSENTPACKETS;QOS_VISIBLECELLTOWERS;QOS_CELLBANDWIDTHS;Operador;LAT;LON;Potencia;Calidad;hora;Hora_etiq;bytes_tras;bytres_rec;bytes_tot;tiempo_conec;vel_subida;vel_bajada;Clasif_Vel_baj;CONNECTION_CATEGORY;QOS_LOCALDATE
63vtx6k;16.789,00;66.961;1700 MHz Extended AWS (Band 66);571,5;15,74;1,23;AVAILABLE;262;5.242.880;32,49;38,63;0,1;3,23;0;0;11,25;30.000;15.000;3;54;1.117.312;5.434.433;6.551.745;9;2;0;66;191;36;153;55;16,65;0;200;32;10;14;60;;200;30;3;6;15000, 20000;B;-34,18;-70,69;-86;-11;20;20_21;1.117.312;5.434.433;6.551.745;69;6.467,73;35.773,62;1;4G;03-01-2022 20:00:00.000000
63vtx6j;16.789,00;2.300;1700 MHz AWS-1 (Band 4);575;14;1,33;AVAILABLE;300;2.097.152;32,12;38,83;0,01;3,17;3;0;17,37;30.000;15.000;3;36;1.138.715;2.264.720;3.403.435;18;4;0,01;46;192;42;207;122;22,94;0;200;32;10;22;60;;200;30;3;1;;B;-34,18;-70,69;-104;-13;9;9_10;1.138.715;2.264.720;3.403.435;4.794;6.365,17;30.824,03;1;4G;04-01-2022 09:00:00.000000
63vtx6g;12.994,00;1.125;1900 MHz (Band 2);567;20;1,47;AVAILABLE;162;2.097.152;34,6;37;0,02;1,11;0;0;9,85;30.000;15.000;4;62;1.301.265;2.771.840;4.073.105;18;4;0;23;127;31;107;54;11,96;0;200;32;10;20;60;;200;30;3;2;;C;-34,17;-70,69;-78;-9;16;16_17;1.301.265;2.771.840;4.073.105;878;6.603,50;51.215,12;1;4G;04-01-2022 16:00:00.000000
63vtx92;16.789,00;2.300;1700 MHz AWS-1 (Band 4);579;18;1,33;NOT_AVAILABLE;289;5.242.880;32,13;38,01;0;1,89;0;0;16,11;30.000;15.000;4;54;1.203.599;5.507.501;6.711.100;11;12;0;110;251;41;226;31;16,88;0;200;32;10;119;60;;200;30;3;3;20000;B;-34,18;-70,69;-86;-8;19;19_20;1.203.599;5.507.501;6.711.100;26;6.105,75;25.498,00;1;4G;04-01-2022 19:00:00.000000
63vtx6s;16.789,00;66.961;1700 MHz Extended AWS (Band 66);568,5;23,6;1,33;AVAILABLE;160;2.097.152;32,68;36,44;0,01;2,61;0;0;9,63;30.000;15.000;4;42;1.195.614;3.598.275;4.793.889;15;1;0,53;35;131;40;124;24;13,32;0;200;32;10;19;60;;200;30;3;1;15000;B;-34,18;-70,69;-98;-9;8;8_9;1.195.614;3.598.275;4.793.889;9;6.831,42;51.376,58;1;4G;05-01-2022 08:00:00.000000
63vtx6y;12.994,00;3.100;2600 MHz (Band 7);519,3;2,15;3,6;AVAILABLE;160;2.097.152;34,42;36,86;0,05;1,73;0;0;9,23;102.400;51.200;4;46;1.231.125;2.273.358;3.504.483;0;5;0;30;132;24;105;33;14,88;0;200;32;10;240;60;;200;30;3;2;20000;C;-34,17;-70,69;-96;-13;10;10_11;1.231.125;2.273.358;3.504.483;16;6.105,76;13.300,43;1;4G;05-01-2022 10:00:00.000000
63vtx39;12.994,00;1.125;1900 MHz (Band 2);573,2;14,65;1,33;AVAILABLE;301;2.097.152;35,68;43,14;0,22;5,59;0;0;12,16;30.000;15.000;3;36;1.132.044;2.258.216;3.390.260;5;5;5.115,74;50;238;60;192;43;17,05;0;200;32;10;104;60;;200;30;3;7;15000;C;-34,18;-70,69;-104;-12;16;16_17;1.132.044;2.258.216;3.390.260;16;6.324,39;9.884,71;0;4G;05-01-2022 16:00:00.000000
63vtx6k;3.715,00;2.900;2600 MHz (Band 7);571;21;1,33;AVAILABLE;336;2.097.152;36,16;41,67;0,02;2,41;0;0;85,76;102.400;51.200;3;35;1.129.943;2.238.778;3.368.721;11;3;813,86;41;269;42;260;35;89,96;0;200;32;10;236;60;;200;30;3;1;;D;-34,18;-70,69;-105;-16;21;21_22;1.129.943;2.238.778;3.368.721;11;13.648,66;36.459,76;1;4G;05-01-2022 21:00:00.000000
63vtx5z;524.584,00;3.300;2600 MHz (Band 7);557;15;1,33;AVAILABLE;484;2.097.152;75,99;92,51;0,03;8,24;0;0;13,43;30.000;15.000;2;25;1.324.369;4.082.314;5.406.683;-1;12;194,6;273;440;50;214;56;22,89;0;200;32;10;107;60;;200;30;3;2;20000;A;-34,17;-70,7;-115;-15;1;1_2;1.324.369;4.082.314;5.406.683;99;1.830,31;8.947,90;0;4G;06-01-2022 01:00:00.000000
63vtx1x;3.715,00;9.610;700 MHz APT (Band 28);571,6;11,97;1,33;AVAILABLE;183;2.097.152;32,96;35,89;0,01;2,3;0;0;10,06;102.400;51.200;4;59;1.150.452;2.383.104;3.533.556;16;6;5.075,06;46;185;32;123;24;10,7;0;200;32;10;17;60;;200;30;3;1;10000, 20000;D;-34,18;-70,7;-81;-13;11;11_12;1.150.452;2.383.104;3.533.556;58;6.503,38;39.088,89;1;4G;06-01-2022 11:00:00.000000
63vtx6k;3.715,00;2.900;2600 MHz (Band 7);571;17;1,33;AVAILABLE;243;2.097.152;35,78;42,6;0,01;3,38;0;0;13,06;102.400;51.200;3;37;1.217.168;2.312.989;3.530.157;12;3;0;197;341;40;154;23;17,33;0;200;32;10;243;60;;200;30;3;3;;D;-34,18;-70,69;-103;-10;12;12_13;1.217.168;2.312.989;3.530.157;268;6.876,54;36.878,62;1;4G;06-01-2022 12:00:00.000000
