	CONNECTION_ENODEBID	CONNECTION_MOBILECHANNEL	CONNECTION_BAND	LOCATION_ALTITUDE	LOCATION_HORIZONTALACCURACY	LOCATION_VERTICALACCURACY	LOCATION_AVAILABILITY	QOS_DOWNLOADTHROUGHPUTTIMETOFIRSTBYTE	QOS_DOWNLOADTHROUGHPUTTESTSIZE	QOS_LATENCYMIN	QOS_LATENCYAVERAGE	QOS_JITTERMIN	QOS_JITTERAVERAGE	QOS_PACKETLOSSDISCARDPERCENTAGE	QOS_PACKETLOSSLOSTPERCENTAGE	QOS_ICMPLATENCYMIN	QOS_LINKDOWNSTREAMBANDWIDTH	QOS_LINKUPSTREAMBANDWIDTH	QOS_SIGNALLEVEL	QOS_ASU	QOS_DELTATRANSMITTEDBYTES	QOS_DELTARECEIVEDBYTES	QOS_DELTATRANSCEIVEDBYTES	QOS_RSSNR	QOS_TA	LOCATION_HORIZONTALACCURACYASSESSMENT	QOS_UPLOADTHROUGHPUTDNSLOOKUP	QOS_UPLOADTHROUGHPUTTIMETOFIRSTACCESS	QOS_DOWNLOADTHROUGHPUTDNSLOOKUP	QOS_DOWNLOADTHROUGHPUTTIMETOFIRSTACCESS	QOS_SERVERRESPONSEDNSLOOKUP	QOS_ICMPLATENCYAVERAGE	QOS_ICMPPACKETLOSSLOSTPERCENTAGE	QOS_ICMPTESTCONFIGPACKETDELAY	QOS_ICMPTESTCONFIGPACKETSIZE	QOS_ICMPTESTCONFIGSENTPACKETS	QOS_ICMPTESTCONFIGTTL	QOS_ICMPTESTCONFIGBYTESSENT	QOS_ICMPTESTCONFIGARGUMENTS	QOS_ICMPTRACEROUTETESTCONFIGPACKETDELAY	QOS_ICMPTRACEROUTETESTCONFIGMAXHOPCOUNT	QOS_ICMPTRACEROUTETESTSENTPACKETS	QOS_VISIBLECELLTOWERS	QOS_CELLBANDWIDTHS	Operador	LAT	LON	Potencia	Calidad	hora	Hora_etiq	bytes_tras	bytres_rec	bytes_tot	tiempo_conec	vel_subida	vel_bajada	Clasif_Vel_baj	CONNECTION_CATEGORY	MES
446	524584.0	3300	2600 MHz (Band 7)	568.4000244140625	87.5999984741211	9.132256507873535	AVAILABLE	286	2097152	35.672343	42.593073	0.015339	4.432725	2.0	1.0	9.5185	30000	15000	4	53	1205593	2402246	3607839	10	2	0.0	105	264	59	186	35	16.7955	0.0	200	32	10	10	60		200	30	3	2		A	-34.16542053222656	-70.66749572753906	-87	-15	11	11_12	1205593	2402246	3607839	367	12566.542997925346	9746.745432117053	0	4G	2022-07-01
447	12994.0	1125	1900 MHz (Band 2)	572.1000366210938	15.180999755859375	1.2346991300582886	AVAILABLE	514	2097152	38.387038	54.728855	5.259423	11.877471	0.0	0.0	23.7245	4623	9401	3	33	1319213	2391145	3710358	0	7	0.0	79	213	101	292	72	37.571	0.0	200	32	10	12	60		200	30	3	2	15000, 20000	C	-34.17503356933594	-70.68534851074219	-107	-14	23	23_24	1319213	2391145	3710358	145	3017.1724787727408	8000.500283550188	0	4G	2023-03-01
448	524584.0	9360	700 MHz APT (Band 28)	579.4000244140625	14.289999961853027	1.0	AVAILABLE	241	2097152	33.90792	40.25208	0.006901	4.080122	0.0	0.0	10.2235	30000	15000	3	36	1468961	3011598	4480559	1	4	0.0	36	151	57	158	55	15.56	0.0	200	32	10	60	60		200	30	3	3		A	-34.18190002441406	-70.68809509277344	-104	-13	9	9_10	1468961	3011598	4480559	30	11950.600577792686	5175.8115110336685	0	4G	2022-09-01
449	524584.0	3300	2600 MHz (Band 7)	567.300048828125	24.64900016784668	1.0623798370361328	AVAILABLE	261	2097152	33.658788	40.964962	0.002231	3.054589	0.0	0.0	11.1645	30000	15000	4	46	1182882	2235639	3418521	-2	11	0.0	38	190	34	157	57	15.251	0.0	200	32	10	9	60		200	30	3	2		A	-34.17091369628906	-70.68260192871094	-94	-15	10	10_11	1182882	2235639	3418521	75	13369.728766666894	8275.165798340098	0	4G	2022-09-01
450	16789.0	66786	1700 MHz Extended AWS (Band 66)	564.0	11.470999717712402	1.0	AVAILABLE	488	2097152	34.099531	71.215451	0.025	8.101145	12.0	0.0	32.261	5831	5831	3	32	1917129	5290476	7207605	4	3	0.0	42	161	63	290	52	38.5005	0.0	200	32	10	15	60		200	30	3	9	20000	B	-34.17091369628906	-70.68946838378906	-108	-12	15	15_16	1917129	5290476	7207605	10	3389.735752159243	17961.853424077988	1	4G	2023-01-01
451	3715.0	2900	2600 MHz (Band 7)	572.4000244140625	7.744999885559082	1.946702241897583	AVAILABLE	448	2097152	38.900811	45.994943	0.552943	5.143018	0.0	0.0	16.8895	30000	15000	4	45	1132080	2584597	3716677	-6	4	4747.338850706088	46	181	41	355	59	27.041	0.0	200	32	10	242	60		200	30	3	4	10000, 20000	D	-34.16542053222656	-70.65238952636719	-95	-20	14	14_15	1132080	2584597	3716677	26	12186.692399644046	9588.038426667388	0	4G	2022-06-01
452	524584.0	3300	2600 MHz (Band 7)	575.9000244140625	50.20899963378906	2.712695598602295	AVAILABLE	225	2097152	34.040384	39.701799	0.035673	2.799553	0.0	0.0	10.932	4748	15000	4	50	1156246	2287903	3444149	-8	0	2.9746836828181156	45	287	34	140	34	17.4285	0.0	200	32	10	9	60		200	30	3	6	20000	A	-34.18052673339844	-70.69084167480469	-90	-11	11	11_12	1156246	2287903	3444149	80	32889.87176226344	15830.555899860921	1	4G	2022-10-01
453	12994.0	3100	2600 MHz (Band 7)	568.5	47.63399887084961	1.7415000200271606	AVAILABLE	224	2097152	36.035003	39.399078	0.025912	2.249425	0.0	0.0	16.6425	30000	15000	4	47	1930109	2926459	4856568	1	2	65.88259107185496	51	230	4	121	68	19.854	0.0	200	32	10	241	60		200	30	3	5	15000, 20000	C	-34.17503356933594	-70.69221496582031	-93	-11	8	8_9	1930109	2926459	4856568	61	1053.9358994416802	21634.04856187395	1	4G	2022-05-01
454	3715.0	9610	700 MHz APT (Band 28)	571.2000122070312	45.810001373291016	5.844644069671631	AVAILABLE	257	2097152	36.970615	41.703848	0.008693	3.199087	0.0	0.0	10.411	102400	51200	3	47	1220971	2635026	3855997	6	2	0.0	30	216	39	155	42	11.8935	0.0	200	32	10	8	60		200	30	3	2		D	-34.17778015136719	-70.69496154785156	-93	-11	23	23_24	1220971	2635026	3855997	40	11726.441682489936	8597.807250961194	0	4G	2023-02-01
455	524584.0	1000	1900 MHz (Band 2)	564.6000366210938	116.0999984741211	17.314334869384766	UNKNOWN	201	2097152	33.994808	41.723291	0.078577	4.600903	0.0	0.0	9.243	102400	51200	2	34	1225152	2722030	3947182	14	7	813.8598553120405	164	624	45	131	33	15.622	0.0	200	32	10	11	60		200	30	3	1	10000	A	-34.17091369628906	-70.68672180175781	-106	-17	21	21_22	1225152	2722030	3947182	15	5412.9415593702615	5301.340903069054	0	4G	2022-05-01
456	524584.0	3300	2600 MHz (Band 7)	570.0	25.700000762939453	1.4526575803756714	AVAILABLE	306	2097152	35.783363	43.829327	0.112578	5.379228	0.0	0.0	14.8395	30000	15000	4	54	1240441	4254958	5495399	9	2	8.504155622445197	272	644	32	201	40	26.453	0.0	200	32	10	16	60		200	30	3	3	10000, 20000	A	-34.17640686035156	-70.69496154785156	-86	-17	21	21_22	1240441	4254958	5495399	198	7818.223720393952	18910.9585778796	1	4G	2022-10-01
457	524584.0	1000	1900 MHz (Band 2)	565.300048828125	12.5	3.2329442501068115	AVAILABLE	266	2097152	34.854519	41.862609	0.002731	2.678102	0.0	0.0	9.958	6311	15000	4	44	1195259	2317940	3513199	19	0	0.0	50	185	41	175	34	17.731	0.0	200	32	10	3	60		200	30	3	1	10000	A	-34.17091369628906	-70.68809509277344	-96	-7	19	19_20	1195259	2317940	3513199	115	4952.254004815847	38097.232423290065	1	4G	2023-02-01
458	3715.0	9610	700 MHz APT (Band 28)	577.4000244140625	17.58300018310547	1.0	AVAILABLE	361	5242880	33.841192	37.765682	0.009922	2.765234	0.0	0.0	9.31	6613	15000	4	45	1604113	5540081	7144194	2	0	0.0	380	520	32	284	39	10.5185	0.0	200	32	10	7	60		200	30	3	6	20000	D	-34.18052673339844	-70.68672180175781	-95	-12	17	17_18	1604113	5540081	7144194	849	2221.403185641234	15946.825147014051	1	4G	2023-02-01
459	524584.0	9360	700 MHz APT (Band 28)	562.5	12.87399959564209	1.0	AVAILABLE	283	2097152	34.444038	43.065014	0.037442	5.207322	0.0	0.0	8.1265	30000	15000	2	28	1253656	2347285	3600941	2	15	269.953585204874	146	250	28	238	20	13.9735	0.0	200	32	10	5	60		200	30	3	3		A	-34.16679382324219	-70.68122863769531	-112	-11	0	0_1	1253656	2347285	3600941	12	8171.367411471312	10386.933608919371	1	4G	2022-04-01
460	524584.0	3300	2600 MHz (Band 7)	566.300048828125	27.91699981689453	1.3201322555541992	AVAILABLE	177	2097152	42.016514	45.002597	0.007604	0.667024	0.0	0.0	12.6475	102400	51200	4	50	1137783	2341459	3479242	18	2	84.60589075724214	24	184	43	141	40	19.67	0.0	200	32	10	3	60		200	30	3	2		A	-34.17228698730469	-70.68672180175781	-90	-13	1	1_2	1137783	2341459	3479242	1560	8064.930848336987	64738.600733983665	1	4G	2023-03-01
461	524584.0	3300	2600 MHz (Band 7)	570.7000122070312	24.400999069213867	1.3201322555541992	NOT_AVAILABLE	281	2097152	35.576	45.469377	3.329539	9.707963	0.0	0.0	15.644	9636	11946	4	51	1685894	11865121	13551015	11	6	26.201128241831398	63	364	29	177	78	26.187	0.0	200	32	10	16	60		200	30	3	1	20000	A	-34.17778015136719	-70.69633483886719	-89	-16	18	18_19	1685894	11865121	13551015	197	3707.597299055798	36528.74826836226	1	4G	2023-01-01
462	3715.0	2900	2600 MHz (Band 7)	580.0	25.433000564575195	2.280456781387329	AVAILABLE	299	2097152	37.158077	43.95894	0.015	4.349737	0.0	0.0	82.294	30000	15000	4	47	1185416	2279842	3465258	-3	0	0.0	32	300	35	226	168	84.785	0.0	200	32	10	238	60		200	30	3	3		D	-34.18327331542969	-70.68672180175781	-93	-15	16	16_17	1185416	2279842	3465258	656	14371.97510926803	1638.1550465817752	0	4G	2022-07-01
463	12994.0	3100	2600 MHz (Band 7)	568.4000244140625	3.9000000953674316	1.4302705526351929	NOT_AVAILABLE	206	5242880	34.198779	43.172934	0.030443	7.040396	0.0	0.0	9.7675	5676	4063	4	61	1178970	5510107	6689077	14	0	0.8963987947356012	97	199	28	152	34	34.4165	0.0	200	32	10	242	60		200	30	3	1		C	-34.17366027832031	-70.68946838378906	-79	-11	7	7_8	1178970	5510107	6689077	200	11503.345955142117	4396.07286019632	0	4G	2022-04-01
464	12994.0	1125	1900 MHz (Band 2)	569.2000122070312	39.77299880981445	2.199251174926758	AVAILABLE	588	5242880	33.524	37.877442	0.003346	3.607996	0.0	0.0	12.254	102400	51200	2	58	1256416	6210363	7466779	10	0	0.0	52	713	313	517	39	48.2145	10.0	200	32	10	15	60		200	30	3	5		C	-34.17503356933594	-70.69358825683594	-85	-12	16	16_17	1256416	6210363	7466779	77	19893.01242840423	7548.887379763046	0	4G	2022-07-01
465	12994.0	9485	700 MHz APT (Band 28)	561.2000122070312	18.658000946044922	1.013150691986084	AVAILABLE	231	2097152	36.17125	45.05239	0.199654	7.281009	0.0	0.0	10.9155	30000	15000	3	32	28040075	24138618	52178693	0	11	265.66364235990466	39	159	33	156	66	15.892	0.0	200	32	10	245	60		200	30	3	6		C	-34.16816711425781	-70.68809509277344	-108	-13	22	22_23	28040075	24138618	52178693	331	2781.044448987487	2167.3943989717795	0	4G	2023-06-01
466	524584.0	3300	2600 MHz (Band 7)	567.5	14.571000099182129	1.0	AVAILABLE	253	5242880	36.314327	46.274609	0.253135	9.672391	0.0	0.0	21.4635	12209	8380	4	43	1166976	5502274	6669250	12	10	14.915347533057325	33	157	40	199	62	29.723	0.0	200	32	10	9	60		200	30	3	1		A	-34.17640686035156	-70.69908142089844	-97	-17	12	12_13	1166976	5502274	6669250	1316	12898.163713146463	24596.77244139419	1	4G	2022-10-01
467	16789.0	66961	1700 MHz Extended AWS (Band 66)	568.6000366210938	18.187999725341797	13.357640266418457	AVAILABLE	219	2097152	34.717269	40.211707	0.024558	2.692467	0.0	0.0	18.3005	30000	15000	4	49	1194312	2324381	3518693	5	1	0.0	35	494	40	137	47	20.6305	0.0	200	32	10	59	60		200	30	3	3	15000, 20000	B	-34.17503356933594	-70.69084167480469	-91	-13	9	9_10	1194312	2324381	3518693	64	13115.527843269805	33558.402378603205	1	4G	2022-09-01
